,pitcher,mean_fb_velo,mean_fb_spin,release_speed,release_spin_rate,corr_pitch_fb_release_speed,corr_pitch_fb_release_spin_rate,corr_pitch_sec_release_speed,corr_pitch_sec_release_spin_rate,corr_at_bat_fb_release_speed,corr_at_bat_fb_release_spin_rate,corr_at_bat_sec_release_speed,corr_at_bat_sec_release_spin_rate,fb_release_speed_threshold_drop,player_name,fb_release_spin_rate_threshold_drop,sec_release_speed_threshold_drop,sec_release_spin_rate_threshold_drop,role_key
0,424144,88.77999999999999,2048.0,88.68985507246377,2093.0,0.3367610236726837,0.17846016654108085,0.3721870917439584,0.018913476674092794,-0.0138430350094841,0.485400935073287,-0.08910571142669574,-0.2371373939101842,5.5,"Pérez, Oliver",5.5,9.916666666666666,9.916666666666666,RP
1,425794,87.85026385224275,2214.2520107238606,72.84576604962584,2774.673566878981,0.12764262169243396,-0.07337475016439217,0.3233149320210093,0.05882819434780111,-0.038681510553798336,0.08552618034462744,0.07842738619971858,0.05759202369940371,63.785714285714285,"Wainwright, Adam",62.345238095238095,54.04705882352941,57.8235294117647,SP
2,425844,89.15730382293764,2255.584206285254,86.4338905775076,1654.0458365164247,0.20489059957725386,0.10257527433183602,0.19174405660062158,0.004963377802370372,-0.12264281359981857,0.18361092665930404,-0.04855346149405399,-0.25305528099483976,53.7093023255814,"Greinke, Zack",42.883720930232556,52.48837209302326,59.94186046511628,SP
3,425877,81.33333333333333,2112.3333333333335,53.205,1475.95,0.6138990586773718,0.7180505868320769,0.3956893447895287,0.29735186158957794,0.7835045542604798,0.46050862975163376,0.3808849659861501,0.306180380552909,20.0,"Molina, Yadier",7.0,18.0,19.5,RP
4,429722,93.35949895615867,2177.795407098121,84.37322404371585,2318.8907103825136,0.0907669915489025,0.03518399694276014,0.18757132604100812,0.03781662726329131,-0.1910146353727787,0.24039153566682314,-0.05317666938562556,0.15040554938054748,18.594594594594593,"Santana, Ervin",14.54054054054054,16.394736842105264,17.36842105263158,RP
5,431148,92.41858407079646,2152.026785714286,80.4890625,1481.890625,0.2437246173969772,-0.06701945681238144,-0.31629588005191783,-0.10970477032796334,0.31219104269104275,0.1341998681827299,0.39803459422216075,0.27798506273041834,19.0,"Kazmir, Scott",25.6,36.2,17.8,SP
6,433589,87.60061099796334,2135.9938900203665,84.49126984126984,2135.8888888888887,0.22312651327455355,-0.024524675259403272,0.11213162202867792,0.11372605479921964,0.04404200375831008,-0.128210320849693,0.06386625437664292,0.1018206932304395,10.623376623376624,"Petit, Yusmeiro",10.168831168831169,9.91304347826087,11.173913043478262,RP
7,434378,94.66239969430646,2425.418230563003,87.16879026485326,2486.4502881844383,0.3313807664321384,0.0013204124963204526,0.23922039330892514,-0.02935254558467903,0.07624752421933066,0.08962463958435284,-0.02908892241616849,0.0575721016778076,67.34545454545454,"Verlander, Justin",64.16363636363636,58.96363636363636,57.36363636363637,SP
8,434671,89.84492753623188,2064.1159420289855,87.2485119047619,2095.2083333333335,0.10495389597182166,-0.012088284531938963,0.17183443721286906,-0.05095215886510069,-0.11867277889460305,0.012096159892264766,-0.13621301484316517,-0.1466968063786819,47.15384615384615,"Sánchez, Aníbal",54.61538461538461,60.714285714285715,66.71428571428571,SP
9,445213,92.2,1929.6666666666667,92.04473684210527,1968.957894736842,0.8910421112136219,0.17526099748855375,0.33406779085429805,0.07227192852138782,-0.5765566601970564,-0.99946136405635,0.17419058025334566,0.08140844182279702,13.333333333333334,"Kintzler, Brandon",13.333333333333334,7.931034482758621,9.655172413793103,RP
10,445926,90.90799999999999,2061.08,88.95743631881676,2240.250622406639,0.21217823980457728,0.37639213023685314,0.025678268041004277,0.040238046578672824,-0.4233016070147166,-0.33348218651295924,-0.05195043679516579,-0.06684752232035819,12.9375,"Chavez, Jesse",12.9375,11.832,13.728,RP
11,446099,93.825,1963.0,94.50666666666666,2160.0,-0.20926370068139905,-0.4109609335312651,0.5293076017872995,-0.21550523749725517,-0.9683296637314882,0.21773242158072692,-0.532600155873564,0.1662017888981746,22.0,"Axford, John",22.0,11.0,19.0,RP
12,446321,92.02019002375297,2199.9400479616306,85.48665413533836,2094.1742424242425,0.2208347633230285,0.12728080703614092,0.12194738148536693,0.1645448451328541,0.04645252092524017,0.08697681371248692,0.09435305150443508,0.19041851687325562,11.39240506329114,"Detwiler, Ross",12.481012658227849,11.670731707317072,12.036585365853659,RP
13,446372,89.24833333333332,2259.825,86.59050203527815,2463.714285714286,0.2943660212629198,0.05317427627059363,0.12715873084524335,0.08376772084605577,-0.2962258657329701,-0.13011363724152203,-0.12330733680424492,0.05059358697180982,53.30952380952381,"Kluber, Corey",56.0,52.377049180327866,45.0,SP
14,448179,88.29538013823209,2274.1289849761815,71.88079496261315,2658.472540497827,0.0832145731010376,-0.00964145832167598,0.03378308095182471,-0.08826055403503726,-0.042282129977633504,0.026905940475018507,-0.09001352469715886,-0.001001375585264512,48.78888888888889,"Hill, Rich",46.7,53.51111111111111,50.4,SP
15,448281,93.09448183041724,2261.606998654105,79.51666666666667,2404.9555555555557,0.1924154790241709,0.06322753136965832,-0.4427113915677517,0.35366514456779347,-0.09204134322101852,-0.0009089888791194671,0.2001013724142795,0.24473215793057443,8.370967741935484,"Doolittle, Sean",8.290322580645162,9.85,9.85,RP
