,MLBAMID,leverage_label,pitcher,time_of_game_label
759,656981,High Leverage,656981,Early
760,656986,Low Leverage,656986,Middle
761,657006,Average Leverage,657006,Middle
762,657024,Average Leverage,657024,Late
763,657031,Average Leverage,657031,Middle
764,657041,Low Leverage,657041,Late
765,657044,High Leverage,657044,Middle
766,657053,Average Leverage,657053,Early
767,657093,Average Leverage,657093,Early
768,657097,Average Leverage,657097,Middle
769,657140,Average Leverage,657140,Early
770,657141,Average Leverage,657141,Early
771,657228,Low Leverage,657228,Middle
772,657240,Average Leverage,657240,Late
773,657248,Low Leverage,657248,Early
774,657265,High Leverage,657265,Late
775,657272,Low Leverage,657272,Middle
776,657277,Average Leverage,657277,Middle
777,657376,Average Leverage,657376,Late
778,657424,Low Leverage,657424,Late
779,657508,Average Leverage,657508,Middle
780,657514,Average Leverage,657514,Middle
781,657571,Average Leverage,657571,Middle
782,657585,Low Leverage,657585,Middle
783,657610,Low Leverage,657610,Early
784,657612,Average Leverage,657612,Middle
785,657624,Average Leverage,657624,Late
786,657649,Low Leverage,657649,Middle
787,657697,Low Leverage,657697,Late
788,657745,Low Leverage,657745,Late
789,657756,Low Leverage,657756,Early
790,657766,Low Leverage,657766,Middle
791,657770,Low Leverage,657770,Early
792,658069,Average Leverage,658069,Late
793,658305,Low Leverage,658305,Early
794,658431,Low Leverage,658431,Late
795,658551,Low Leverage,658551,Middle
796,658648,Average Leverage,658648,Early
797,659262,Low Leverage,659262,Early
798,659275,Low Leverage,659275,Middle
799,660261,Average Leverage,660261,Late
800,660365,Low Leverage,660365,Early
801,660422,Average Leverage,660422,Late
802,660431,Low Leverage,660431,Middle
803,660546,High Leverage,660546,Late
804,660593,Low Leverage,660593,Middle
805,660600,Average Leverage,660600,Late
806,660620,Average Leverage,660620,Late
807,660623,Low Leverage,660623,Middle
808,660634,Average Leverage,660634,Late
809,660636,High Leverage,660636,Late
810,660730,Average Leverage,660730,Early
811,660761,Average Leverage,660761,Early
812,660787,Average Leverage,660787,Late
813,660813,Average Leverage,660813,Late
814,660825,Low Leverage,660825,Late
815,660853,Average Leverage,660853,Middle
816,660896,Low Leverage,660896,Late
817,660906,Low Leverage,660906,Late
818,661255,High Leverage,661255,Late
819,661269,Low Leverage,661269,Early
820,661309,Average Leverage,661309,Middle
821,661383,Average Leverage,661383,Early
822,661395,Low Leverage,661395,Late
823,661403,High Leverage,661403,Late
824,661440,Low Leverage,661440,Late
825,661527,Low Leverage,661527,Middle
826,661531,Low Leverage,661531,Late
827,662253,Average Leverage,662253,Late
828,663158,Low Leverage,663158,Late
829,663321,Low Leverage,663321,Early
830,663362,Low Leverage,663362,Early
831,663366,Low Leverage,663366,Early
832,663372,Average Leverage,663372,Early
833,663378,Low Leverage,663378,Early
834,663385,Low Leverage,663385,Middle
835,663399,Low Leverage,663399,Late
836,663423,Low Leverage,663423,Middle
837,663432,High Leverage,663432,Late
838,663436,Average Leverage,663436,Early
839,663455,Average Leverage,663455,Late
840,663460,Average Leverage,663460,Early
841,663462,Low Leverage,663462,Middle
842,663465,Low Leverage,663465,Early
843,663474,Average Leverage,663474,Middle
844,663485,Low Leverage,663485,Late
845,663531,Average Leverage,663531,Early
846,663534,Average Leverage,663534,Middle
847,663542,Low Leverage,663542,Late
848,663546,Low Leverage,663546,Early
849,663558,Average Leverage,663558,Middle
850,663559,Low Leverage,663559,Early
851,663562,Average Leverage,663562,Early
852,663567,High Leverage,663567,Early
853,663574,Average Leverage,663574,Middle
854,663629,Low Leverage,663629,Late
855,663630,Low Leverage,663630,Late
856,663658,Low Leverage,663658,Late
857,663687,Low Leverage,663687,Early
858,663704,Average Leverage,663704,Late
859,663734,Average Leverage,663734,Middle
860,663752,Average Leverage,663752,Middle
861,663753,Low Leverage,663753,Early
862,663765,Low Leverage,663765,Middle
863,663770,Low Leverage,663770,Middle
864,663773,Low Leverage,663773,Late
865,663776,Average Leverage,663776,Middle
866,663804,Low Leverage,663804,Middle
867,663853,Low Leverage,663853,Late
868,663855,Average Leverage,663855,Late
869,663878,Low Leverage,663878,Middle
870,663893,Average Leverage,663893,Middle
871,663897,Low Leverage,663897,Late
872,663903,Low Leverage,663903,Middle
873,663941,Low Leverage,663941,Early
874,663947,Low Leverage,663947,Middle
875,663971,Low Leverage,663971,Late
876,663975,Low Leverage,663975,Middle
877,663978,Average Leverage,663978,Early
878,663986,Average Leverage,663986,Late
879,663989,Low Leverage,663989,Middle
880,663992,Average Leverage,663992,Middle
881,664028,Low Leverage,664028,Late
882,664042,Low Leverage,664042,Middle
883,664045,Average Leverage,664045,Early
884,664054,Low Leverage,664054,Middle
885,664062,Average Leverage,664062,Early
886,664074,Low Leverage,664074,Early
887,664076,Average Leverage,664076,Late
888,664092,Average Leverage,664092,Late
889,664123,Average Leverage,664123,Middle
890,664126,High Leverage,664126,Late
891,664129,Low Leverage,664129,Late
892,664139,Average Leverage,664139,Middle
893,664157,Average Leverage,664157,Late
894,664161,Low Leverage,664161,Early
895,664192,Average Leverage,664192,Early
896,664196,Low Leverage,664196,Early
897,664199,Average Leverage,664199,Late
898,664202,Low Leverage,664202,Late
899,664208,Average Leverage,664208,Middle
900,664294,Low Leverage,664294,Middle
901,664299,Average Leverage,664299,Middle
902,664337,Low Leverage,664337,Middle
903,664353,Average Leverage,664353,Middle
904,664584,High Leverage,664584,Late
905,664670,Average Leverage,664670,Late
906,664682,Low Leverage,664682,Late
907,664714,Low Leverage,664714,Early
908,664744,Low Leverage,664744,Late
909,664747,Average Leverage,664747,Late
910,664776,Average Leverage,664776,Middle
911,664789,Low Leverage,664789,Late
912,664849,Average Leverage,664849,Late
913,664852,Low Leverage,664852,Late
914,664854,High Leverage,664854,Late
915,664871,Low Leverage,664871,Early
916,664874,Low Leverage,664874,Late
917,664875,Average Leverage,664875,Late
918,664901,Average Leverage,664901,Late
919,664918,Low Leverage,664918,Middle
920,664942,Low Leverage,664942,Middle
921,664944,Low Leverage,664944,Late
922,664948,Average Leverage,664948,Middle
923,665001,Low Leverage,665001,Middle
924,665019,Low Leverage,665019,Late
925,665048,Low Leverage,665048,Late
926,665152,Average Leverage,665152,Early
927,665155,Low Leverage,665155,Late
928,665620,Low Leverage,665620,Early
929,665621,Low Leverage,665621,Early
930,665622,Average Leverage,665622,Early
931,665625,Average Leverage,665625,Middle
932,665645,Low Leverage,665645,Late
933,665661,Low Leverage,665661,Middle
934,665665,Average Leverage,665665,Middle
935,665733,Low Leverage,665733,Late
936,665734,Average Leverage,665734,Late
937,665759,Low Leverage,665759,Middle
938,665795,Average Leverage,665795,Early
939,665854,Low Leverage,665854,Late
940,665871,Low Leverage,665871,Middle
941,665896,Low Leverage,665896,Late
942,666129,Average Leverage,666129,Middle
943,666142,Average Leverage,666142,Middle
944,666154,Average Leverage,666154,Early
945,666168,Average Leverage,666168,Middle
946,666200,Low Leverage,666200,Late
947,666204,Average Leverage,666204,Late
948,666205,Average Leverage,666205,Early
949,666207,Low Leverage,666207,Late
950,666208,High Leverage,666208,Middle
951,666214,Average Leverage,666214,Early
952,666277,Low Leverage,666277,Early
953,666364,Low Leverage,666364,Late
954,666374,Average Leverage,666374,Middle
955,666619,Average Leverage,666619,Late
956,666720,Average Leverage,666720,Late
957,666721,Low Leverage,666721,Early
958,666745,Average Leverage,666745,Early
959,666808,Low Leverage,666808,Late
960,666818,Average Leverage,666818,Middle
961,666974,High Leverage,666974,Late
962,667297,Low Leverage,667297,Middle
963,667373,Average Leverage,667373,Late
964,667376,Low Leverage,667376,Late
965,667427,High Leverage,667427,Late
966,667463,Average Leverage,667463,Middle
967,667465,Low Leverage,667465,Late
968,667498,Low Leverage,667498,Early
969,667725,Low Leverage,667725,Early
970,667755,Low Leverage,667755,Middle
971,668338,Low Leverage,668338,Late
972,668470,Low Leverage,668470,Late
973,668665,Low Leverage,668665,Early
974,668670,Low Leverage,668670,Late
975,668674,Average Leverage,668674,Middle
976,668676,Average Leverage,668676,Middle
977,668684,Low Leverage,668684,Early
978,668687,Low Leverage,668687,Late
979,668754,Low Leverage,668754,Late
980,668800,High Leverage,668800,Late
981,668820,High Leverage,668820,Early
982,668834,Low Leverage,668834,Middle
983,668868,Low Leverage,668868,Middle
984,668873,Average Leverage,668873,Late
985,668941,Average Leverage,668941,Late
986,668942,Average Leverage,668942,Late
987,668948,Average Leverage,668948,Late
988,668970,Average Leverage,668970,Middle
989,668984,Low Leverage,668984,Late
990,669022,Low Leverage,669022,Middle
991,669060,Average Leverage,669060,Middle
992,669084,Low Leverage,669084,Late
993,669093,Low Leverage,669093,Late
994,669105,Low Leverage,669105,Early
995,669111,Low Leverage,669111,Late
996,669135,Low Leverage,669135,Late
997,669145,Average Leverage,669145,Early
998,669165,Low Leverage,669165,Late
999,669169,Low Leverage,669169,Late
1000,669194,Average Leverage,669194,Early
1001,669211,Low Leverage,669211,Middle
1002,669212,Average Leverage,669212,Middle
1003,669214,Low Leverage,669214,Middle
1004,669270,Average Leverage,669270,Middle
1005,669276,Average Leverage,669276,Middle
1006,669294,Low Leverage,669294,Early
1007,669330,Average Leverage,669330,Late
1008,669373,Average Leverage,669373,Early
1009,669387,Average Leverage,669387,Late
1010,669391,Low Leverage,669391,Early
1011,669395,Average Leverage,669395,Late
1012,669424,Average Leverage,669424,Middle
1013,669438,Average Leverage,669438,Middle
1014,669459,Average Leverage,669459,Middle
1015,669461,Average Leverage,669461,Middle
1016,669467,Average Leverage,669467,Middle
1017,669618,Average Leverage,669618,Late
1018,669622,Average Leverage,669622,Late
1019,669674,Low Leverage,669674,Late
1020,669684,Average Leverage,669684,Early
1021,669711,Average Leverage,669711,Late
1022,669713,Average Leverage,669713,Middle
1023,669721,Average Leverage,669721,Early
1024,669724,Low Leverage,669724,Late
1025,669735,Average Leverage,669735,Middle
1026,669742,Low Leverage,669742,Late
1027,669796,Low Leverage,669796,Middle
1028,669804,Low Leverage,669804,Late
1029,669854,Low Leverage,669854,Late
1030,669912,Average Leverage,669912,Late
1031,669920,Average Leverage,669920,Late
1032,669935,Low Leverage,669935,Early
1033,669947,Average Leverage,669947,Early
1034,669952,Low Leverage,669952,Late
1035,670032,Average Leverage,670032,Late
1036,670036,Average Leverage,670036,Late
1037,670042,Low Leverage,670042,Late
1038,670046,Average Leverage,670046,Early
1039,670050,Average Leverage,670050,Middle
1040,670056,Average Leverage,670056,Middle
1041,670057,Low Leverage,670057,Middle
1042,670059,Average Leverage,670059,Late
1043,670087,Average Leverage,670087,Middle
1044,670090,Low Leverage,670090,Middle
1045,670097,Low Leverage,670097,Late
1046,670102,Low Leverage,670102,Late
1047,670124,Average Leverage,670124,Late
1048,670156,Low Leverage,670156,Late
1049,670167,Average Leverage,670167,Middle
1050,670174,Average Leverage,670174,Middle
1051,670183,Average Leverage,670183,Late
1052,670241,Average Leverage,670241,Early
1053,670280,High Leverage,670280,Late
1054,670288,Low Leverage,670288,Late
1055,670329,Low Leverage,670329,Late
1056,670426,Average Leverage,670426,Middle
1057,670456,Average Leverage,670456,Middle
1058,670550,Low Leverage,670550,Late
1059,670712,Low Leverage,670712,Late
1060,670766,Low Leverage,670766,Late
1061,670768,Average Leverage,670768,Late
1062,670810,Low Leverage,670810,Middle
1063,670871,Average Leverage,670871,Late
1064,670912,Average Leverage,670912,Early
1065,670950,Average Leverage,670950,Middle
1066,670955,Low Leverage,670955,Late
1067,670970,Low Leverage,670970,Late
1068,670990,Low Leverage,670990,Late
1069,671111,Low Leverage,671111,Late
1070,671345,Average Leverage,671345,Late
1071,671737,Average Leverage,671737,Late
1072,671790,Low Leverage,671790,Early
1073,672335,Low Leverage,672335,Middle
1074,672391,Low Leverage,672391,Late
1075,672578,High Leverage,672578,Middle
1076,672582,Average Leverage,672582,Middle
1077,672710,Average Leverage,672710,Middle
1078,672715,Low Leverage,672715,Middle
1079,672730,Low Leverage,672730,Middle
1080,672782,Average Leverage,672782,Middle
1081,672839,Low Leverage,672839,Middle
1082,672841,Low Leverage,672841,Late
1083,672851,Average Leverage,672851,Middle
1084,672860,Average Leverage,672860,Middle
1085,672911,Low Leverage,672911,Late
1086,673111,Average Leverage,673111,Middle
1087,673258,Average Leverage,673258,Late
1088,673316,Low Leverage,673316,Late
1089,673858,Low Leverage,673858,Middle
1090,673904,Low Leverage,673904,Early
1091,674003,Average Leverage,674003,Late
1092,674072,Average Leverage,674072,Early
1093,674285,Low Leverage,674285,Late
1094,674370,Average Leverage,674370,Early
1095,674444,Low Leverage,674444,Late
1096,674681,Low Leverage,674681,Early
1097,674944,Low Leverage,674944,Early
1098,675540,Low Leverage,675540,Late
1099,675627,Average Leverage,675627,Middle
1100,675911,Average Leverage,675911,Early
1101,675912,Low Leverage,675912,Early
1102,675916,High Leverage,675916,Late
1103,675921,Average Leverage,675921,Middle
1104,675971,Low Leverage,675971,Late
1105,675989,Low Leverage,675989,Middle
1106,676050,Low Leverage,676050,Middle
1107,676051,Average Leverage,676051,Middle
1108,676083,Low Leverage,676083,Late
1109,676092,Average Leverage,676092,Middle
1110,676103,Average Leverage,676103,Late
1111,676130,Average Leverage,676130,Early
1112,676206,Low Leverage,676206,Early
1113,676220,Low Leverage,676220,Late
1114,676254,Average Leverage,676254,Middle
1115,676265,Low Leverage,676265,Late
1116,676391,Low Leverage,676391,Late
1117,676395,Low Leverage,676395,Middle
1118,676424,Low Leverage,676424,Late
1119,676475,Low Leverage,676475,Late
1120,676477,Average Leverage,676477,Middle
1121,676534,Average Leverage,676534,Late
1122,676596,Average Leverage,676596,Early
1123,676604,Low Leverage,676604,Middle
1124,676606,Average Leverage,676606,Early
1125,676617,Low Leverage,676617,Late
1126,676632,Low Leverage,676632,Late
1127,676637,Low Leverage,676637,Early
1128,676641,Low Leverage,676641,Late
1129,676660,Low Leverage,676660,Late
1130,676664,Low Leverage,676664,Early
1131,676680,Average Leverage,676680,Late
1132,676684,Low Leverage,676684,Middle
1133,676689,High Leverage,676689,Late
1134,676701,Low Leverage,676701,Late
1135,676702,Low Leverage,676702,Early
1136,676709,Low Leverage,676709,Middle
1137,676710,Average Leverage,676710,Middle
1138,676714,Average Leverage,676714,Late
1139,676720,Low Leverage,676720,Late
1140,676755,Low Leverage,676755,Late
1141,676760,Low Leverage,676760,Middle
1142,676766,Average Leverage,676766,Late
1143,676775,Low Leverage,676775,Early
1144,676831,Low Leverage,676831,Late
1145,676840,Low Leverage,676840,Late
1146,676879,Average Leverage,676879,Early
1147,676886,Low Leverage,676886,Late
1148,676946,Average Leverage,676946,Late
1149,676961,Average Leverage,676961,Late
1150,676969,Average Leverage,676969,Late
1151,676979,Average Leverage,676979,Late
1152,677020,Average Leverage,677020,Late
1153,677053,High Leverage,677053,Middle
1154,677076,High Leverage,677076,Late
1155,677161,Low Leverage,677161,Middle
1156,677651,Low Leverage,677651,Early
1157,677865,Low Leverage,677865,Late
1158,677944,Average Leverage,677944,Early
1159,677960,Average Leverage,677960,Early
1160,677976,Low Leverage,677976,Early
1161,678061,Average Leverage,678061,Late
1162,678226,Average Leverage,678226,Late
1163,678394,Average Leverage,678394,Early
1164,678606,Average Leverage,678606,Middle
1165,678692,Low Leverage,678692,Early
1166,679346,Low Leverage,679346,Late
1167,679525,Average Leverage,679525,Early
1168,679885,Low Leverage,679885,Late
1169,680430,Low Leverage,680430,Late
1170,680573,Low Leverage,680573,Early
1171,680686,Average Leverage,680686,Early
1172,680692,Low Leverage,680692,Middle
1173,680704,Average Leverage,680704,Middle
1174,680735,Average Leverage,680735,Middle
1175,680739,Average Leverage,680739,Late
1176,680742,Low Leverage,680742,Late
1177,680767,Low Leverage,680767,Late
1178,680983,Low Leverage,680983,Late
1179,681190,Low Leverage,681190,Early
1180,681217,Average Leverage,681217,Middle
1181,681402,Low Leverage,681402,Middle
1182,681432,Low Leverage,681432,Early
1183,681464,Low Leverage,681464,Late
1184,681517,Average Leverage,681517,Middle
1185,681584,Low Leverage,681584,Late
1186,681799,Average Leverage,681799,Middle
1187,681806,High Leverage,681806,Middle
1188,681807,Low Leverage,681807,Late
1189,681808,Average Leverage,681808,Late
1190,681810,Average Leverage,681810,Middle
1191,681857,Average Leverage,681857,Early
1192,681867,Low Leverage,681867,Early
1193,681869,Low Leverage,681869,Early
1194,681882,Average Leverage,681882,Middle
1195,681885,Low Leverage,681885,Middle
1196,681892,Average Leverage,681892,Late
1197,681911,Average Leverage,681911,Middle
1198,681982,Average Leverage,681982,Middle
1199,681987,Low Leverage,681987,Late
1200,682010,Low Leverage,682010,Late
1201,682016,Average Leverage,682016,Late
1202,682027,Low Leverage,682027,Middle
1203,682051,Low Leverage,682051,Early
1204,682052,Low Leverage,682052,Middle
1205,682120,Low Leverage,682120,Middle
1206,682171,Low Leverage,682171,Middle
1207,682175,Average Leverage,682175,Early
1208,682842,Average Leverage,682842,Middle
1209,682847,Low Leverage,682847,Early
1210,682967,Low Leverage,682967,Late
1211,682989,Low Leverage,682989,Late
1212,682990,Average Leverage,682990,Early
1213,683232,Average Leverage,683232,Middle
1214,683769,Low Leverage,683769,Early
1215,685107,Average Leverage,685107,Middle
1216,685314,High Leverage,685314,Middle
1217,685410,Low Leverage,685410,Middle
1218,685503,Average Leverage,685503,Middle
1219,686218,Average Leverage,686218,Early
1220,686294,Low Leverage,686294,Middle
1221,686539,Low Leverage,686539,Middle
1222,686610,Average Leverage,686610,Middle
1223,686613,Low Leverage,686613,Middle
1224,686651,Average Leverage,686651,Early
1225,686654,Low Leverage,686654,Middle
1226,686730,Average Leverage,686730,Early
1227,686747,Average Leverage,686747,Late
1228,686752,Low Leverage,686752,Early
1229,686753,Low Leverage,686753,Early
1230,686826,Low Leverage,686826,Early
1231,686839,Low Leverage,686839,Middle
1232,686842,Low Leverage,686842,Middle
1233,686972,Low Leverage,686972,Late
1234,686973,Average Leverage,686973,Middle
1235,687145,Average Leverage,687145,Middle
1236,687330,Average Leverage,687330,Middle
1237,687396,Low Leverage,687396,Middle
1238,687798,Low Leverage,687798,Late
1239,687888,Low Leverage,687888,Early
1240,687922,Low Leverage,687922,Early
1241,688010,Low Leverage,688010,Early
1242,688427,Low Leverage,688427,Middle
1243,689147,Average Leverage,689147,Early
1244,689167,Average Leverage,689167,Late
1245,689172,Low Leverage,689172,Late
1246,689225,Average Leverage,689225,Middle
1247,689690,Low Leverage,689690,Late
1248,690829,High Leverage,690829,Middle
1249,691094,Average Leverage,691094,Early
1250,693312,Low Leverage,693312,Early
1251,693821,Average Leverage,693821,Middle
1252,694037,Average Leverage,694037,Middle
1253,694297,Average Leverage,694297,Early
1254,694813,Average Leverage,694813,Early
1255,695243,Low Leverage,695243,Middle
1256,696147,Low Leverage,696147,Late
1257,700363,Average Leverage,700363,Middle
1258,701643,Average Leverage,701643,Middle
